round_epochs;val_loss;val_acc;loss;acc;first_Conv2D_dim;encoded_activation;batch_size
20;0.05695516850707137;0.8075892725003573;0.05688737707587294;0.8038297132086011;32;<function relu at 0x00000147D851D840>;200
20;0.06714158700321515;0.8090335475995112;0.06722441695633463;0.8091187825601676;32;<function tanh at 0x00000147D851D8C8>;400
20;0.05003881551839729;0.8090335475995112;0.04991861794768394;0.8091187764427429;16;<function linear at 0x00000147D851DAE8>;400
20;0.06713962247362042;0.8090335512976568;0.06723035792893466;0.8090830169645402;32;<function tanh at 0x00000147D851D8C8>;200
20;0.04918237434533903;0.800248439229762;0.04882553949099012;0.8037238704729929;32;<function linear at 0x00000147D851DAE8>;200
20;0.04829462151148001;0.8090335475995112;0.048173053592375684;0.8091075410614635;32;<function linear at 0x00000147D851DAE8>;400
20;0.06712622750204077;0.8090335512976568;0.0672142928326332;0.8091187823229268;16;<function tanh at 0x00000147D851D8C8>;200
20;0.06714924071036533;0.8090335475995112;0.06722919138735506;0.8091187841212971;32;<function sigmoid at 0x00000147D851D950>;400
20;0.06715941252293726;0.8090335512976568;0.0672249969884956;0.8091187817743073;16;<function sigmoid at 0x00000147D851D950>;200
20;0.048739399282030194;0.8089529395868885;0.04875385950431437;0.8078909139947692;16;<function relu at 0x00000147D851D840>;200
20;0.06715633176779405;0.8090335475995112;0.06725314328133024;0.8091187854155306;16;<function sigmoid at 0x00000147D851D950>;400
20;0.048680414265830245;0.8089979383243849;0.04842644378737777;0.803157392220565;16;<function linear at 0x00000147D851DAE8>;200
20;0.06717525798676635;0.8090335475995112;0.06726096511975913;0.8091187816895784;16;<function tanh at 0x00000147D851D8C8>;400
20;0.050749796229090045;0.8090335475995112;0.05041582630878721;0.8023204888238036;16;<function relu at 0x00000147D851D840>;400
20;0.06715022502016191;0.8090335512976568;0.06722525090080847;0.8085074307182339;32;<function sigmoid at 0x00000147D851D950>;200
20;0.05173524261224013;0.8090335475995112;0.05138513079335612;0.8091187822530255;32;<function relu at 0x00000147D851D840>;400
